Source,TPR_sens,TNR_spec,FNR,FPR,Delta_TPR_sens_vs_Human,Delta_TNR_spec_vs_Human,Delta_FNR_vs_Human,Delta_FPR_vs_Human
AWS,0.9484480431848853,0.4687747035573123,0.05155195681511473,0.5312252964426877,-0.01025641025641022,-0.01778656126482203,0.010256410256410262,0.01778656126482203
AssemblyAI,0.9172739541160594,0.5043478260869565,0.08272604588394064,0.49565217391304345,-0.041430499325236125,0.017786561264822143,0.041430499325236174,-0.017786561264822198
CrisperWhisper,0.9433198380566802,0.4683794466403162,0.05668016194331984,0.5316205533596838,-0.01538461538461533,-0.018181818181818132,0.015384615384615372,0.018181818181818188
Google,0.9688259109311741,0.433201581027668,0.031174089068825926,0.5667984189723321,0.010121457489878583,-0.05335968379446637,-0.010121457489878541,0.05335968379446643
Human,0.9587044534412955,0.48656126482213435,0.04129554655870447,0.5134387351778656,0.0,0.0,0.0,0.0
Meta,0.8653171390013495,0.5399209486166008,0.13468286099865048,0.4600790513833992,-0.09338731443994597,0.05335968379446643,0.09338731443994602,-0.05335968379446643
Microsoft,0.9018893387314441,0.5047430830039525,0.09811066126855601,0.49525691699604746,-0.056815114709851455,0.018181818181818188,0.056815114709851545,-0.018181818181818188
Nemo,0.9226720647773279,0.5130434782608695,0.07732793522267208,0.48695652173913045,-0.03603238866396763,0.026482213438735136,0.03603238866396761,-0.02648221343873519
Whisper,0.8963562753036438,0.592885375494071,0.10364372469635626,0.4071146245059289,-0.0623481781376517,0.1063241106719367,0.06234817813765179,-0.10632411067193676
