Subgroup_type,Subgroup_value,ASR_Model,Biomarker,Human_effect,ASR_effect,Deviation,CI_low,CI_high,p_val,n_DEM,n_OLD,p_FDR
Dementia_subtype,Subtype_2 (n_pts=37),Whisper,pronoun_ratio,0.0293,0.0341,0.0049,0.0002,0.0096,0.0432,65,113,0.2765
Dementia_subtype,Subtype_2 (n_pts=37),Whisper,content_ratio,0.0556,0.0539,-0.0018,-0.0081,0.0046,0.5874,65,113,0.8544
Dementia_subtype,Subtype_2 (n_pts=37),Whisper,mean_word_len,-0.121,-0.0771,0.0439,0.0089,0.0789,0.0145,65,113,0.1328
Dementia_subtype,Subtype_3 (n_pts=12),AWS,ttr,-0.1439,-0.1175,0.0265,-0.0002,0.0532,0.0515,22,113,0.1266
Dementia_subtype,Subtype_3 (n_pts=12),AWS,pronoun_ratio,0.0319,0.0393,0.0074,0.0002,0.0147,0.0456,22,113,0.1266
Dementia_subtype,Subtype_3 (n_pts=12),AWS,content_ratio,0.049,0.0446,-0.0044,-0.0239,0.0151,0.6477,22,113,0.7147
Dementia_subtype,Subtype_3 (n_pts=12),AWS,mean_word_len,-0.4727,-0.4112,0.0615,-0.0048,0.1279,0.0677,22,113,0.1444
Dementia_subtype,Subtype_3 (n_pts=12),AssemblyAI,ttr,-0.1439,-0.1155,0.0284,0.012,0.0449,0.0016,22,113,0.0203
Dementia_subtype,Subtype_3 (n_pts=12),AssemblyAI,pronoun_ratio,0.0319,0.0264,-0.0055,-0.0144,0.0035,0.222,22,113,0.44
Dementia_subtype,Subtype_3 (n_pts=12),AssemblyAI,content_ratio,0.049,0.0441,-0.0049,-0.0133,0.0036,0.2475,22,113,0.44
Dementia_subtype,Subtype_3 (n_pts=12),AssemblyAI,mean_word_len,-0.4727,-0.3474,0.1253,0.0509,0.1996,0.0019,22,113,0.0203
Dementia_subtype,Subtype_3 (n_pts=12),CrisperWhisper,ttr,-0.1439,-0.1403,0.0036,-0.0103,0.0176,0.5979,22,113,0.7086
Dementia_subtype,Subtype_3 (n_pts=12),CrisperWhisper,pronoun_ratio,0.0319,0.0288,-0.0031,-0.01,0.0038,0.3631,22,113,0.5052
Dementia_subtype,Subtype_3 (n_pts=12),CrisperWhisper,content_ratio,0.049,0.04,-0.0089,-0.0174,-0.0005,0.0382,22,113,0.1222
Dementia_subtype,Subtype_3 (n_pts=12),CrisperWhisper,mean_word_len,-0.4727,-0.501,-0.0283,-0.0891,0.0325,0.3456,22,113,0.5027
Dementia_subtype,Subtype_3 (n_pts=12),Google,ttr,-0.1439,-0.1293,0.0147,-0.0244,0.0537,0.4452,22,113,0.5699
Dementia_subtype,Subtype_3 (n_pts=12),Google,pronoun_ratio,0.0319,0.033,0.0011,-0.0123,0.0145,0.8669,22,113,0.8669
Dementia_subtype,Subtype_3 (n_pts=12),Google,content_ratio,0.049,0.0421,-0.0069,-0.0187,0.005,0.2465,22,113,0.44
Dementia_subtype,Subtype_3 (n_pts=12),Google,mean_word_len,-0.4727,-0.4501,0.0226,-0.0505,0.0957,0.5319,22,113,0.6546
Dementia_subtype,Subtype_3 (n_pts=12),Meta,ttr,-0.1439,-0.0296,0.1143,0.0613,0.1673,0.0002,22,113,0.0064
Dementia_subtype,Subtype_3 (n_pts=12),Meta,pronoun_ratio,0.0319,0.0199,-0.012,-0.0221,-0.0019,0.0216,22,113,0.0864
Dementia_subtype,Subtype_3 (n_pts=12),Meta,content_ratio,0.049,0.0523,0.0033,-0.0152,0.0218,0.7158,22,113,0.7389
Dementia_subtype,Subtype_3 (n_pts=12),Meta,mean_word_len,-0.4727,-0.3126,0.1601,0.0278,0.2924,0.0199,22,113,0.0864
Dementia_subtype,Subtype_3 (n_pts=12),Microsoft,ttr,-0.1439,-0.172,-0.0281,-0.1018,0.0456,0.4373,22,113,0.5699
Dementia_subtype,Subtype_3 (n_pts=12),Microsoft,pronoun_ratio,0.0319,0.0142,-0.0176,-0.0316,-0.0037,0.0155,22,113,0.0827
Dementia_subtype,Subtype_3 (n_pts=12),Microsoft,content_ratio,0.049,-0.0164,-0.0654,-0.1324,0.0017,0.0554,22,113,0.1266
Dementia_subtype,Subtype_3 (n_pts=12),Microsoft,mean_word_len,-0.4727,-0.5148,-0.0422,-0.2725,0.1882,0.7075,22,113,0.7389
Dementia_subtype,Subtype_3 (n_pts=12),Nemo,ttr,-0.1439,-0.1267,0.0173,0.0012,0.0333,0.0365,22,113,0.1222
Dementia_subtype,Subtype_3 (n_pts=12),Nemo,pronoun_ratio,0.0319,0.0358,0.0039,-0.0035,0.0114,0.2847,22,113,0.459
Dementia_subtype,Subtype_3 (n_pts=12),Nemo,content_ratio,0.049,0.0329,-0.016,-0.032,-0.0,0.0496,22,113,0.1266
Dementia_subtype,Subtype_3 (n_pts=12),Nemo,mean_word_len,-0.4727,-0.4413,0.0314,-0.031,0.0938,0.3097,22,113,0.4719
Dementia_subtype,Subtype_3 (n_pts=12),Whisper,ttr,-0.1439,-0.1098,0.0341,0.0101,0.058,0.0073,22,113,0.0467
Dementia_subtype,Subtype_3 (n_pts=12),Whisper,pronoun_ratio,0.0319,0.0345,0.0026,-0.009,0.0142,0.6471,22,113,0.7147
Dementia_subtype,Subtype_3 (n_pts=12),Whisper,content_ratio,0.049,0.0407,-0.0083,-0.0239,0.0074,0.2869,22,113,0.459
Dementia_subtype,Subtype_3 (n_pts=12),Whisper,mean_word_len,-0.4727,-0.3269,0.1458,0.0502,0.2415,0.0045,22,113,0.036
Dementia_subtype,Subtype_4 (n_pts=12),AWS,ttr,-0.0537,-0.0454,0.0083,-0.0056,0.0222,0.2285,18,113,0.7312
Dementia_subtype,Subtype_4 (n_pts=12),AWS,pronoun_ratio,0.0351,0.037,0.002,-0.0081,0.012,0.6867,18,113,0.8625
Dementia_subtype,Subtype_4 (n_pts=12),AWS,content_ratio,0.0723,0.0647,-0.0076,-0.0171,0.0018,0.1084,18,113,0.4955
Dementia_subtype,Subtype_4 (n_pts=12),AWS,mean_word_len,-0.077,-0.1182,-0.0413,-0.1491,0.0666,0.4322,18,113,0.8136
Dementia_subtype,Subtype_4 (n_pts=12),AssemblyAI,ttr,-0.0537,-0.0499,0.0038,-0.008,0.0157,0.5111,18,113,0.8314
Dementia_subtype,Subtype_4 (n_pts=12),AssemblyAI,pronoun_ratio,0.0351,0.0347,-0.0003,-0.0075,0.0068,0.925,18,113,0.925
Dementia_subtype,Subtype_4 (n_pts=12),AssemblyAI,content_ratio,0.0723,0.0668,-0.0055,-0.0115,0.0004,0.0667,18,113,0.3717
Dementia_subtype,Subtype_4 (n_pts=12),AssemblyAI,mean_word_len,-0.077,-0.0687,0.0083,-0.0976,0.1141,0.8714,18,113,0.9218
Dementia_subtype,Subtype_4 (n_pts=12),CrisperWhisper,ttr,-0.0537,-0.0591,-0.0054,-0.0155,0.0047,0.2833,18,113,0.7378
Dementia_subtype,Subtype_4 (n_pts=12),CrisperWhisper,pronoun_ratio,0.0351,0.0346,-0.0004,-0.0072,0.0063,0.893,18,113,0.9218
Dementia_subtype,Subtype_4 (n_pts=12),CrisperWhisper,content_ratio,0.0723,0.0615,-0.0109,-0.0188,-0.0029,0.0096,18,113,0.1536
Dementia_subtype,Subtype_4 (n_pts=12),CrisperWhisper,mean_word_len,-0.077,-0.1276,-0.0507,-0.1559,0.0546,0.325,18,113,0.7378
Dementia_subtype,Subtype_4 (n_pts=12),Google,ttr,-0.0537,-0.0356,0.0181,-0.0016,0.0378,0.0697,18,113,0.3717
Dementia_subtype,Subtype_4 (n_pts=12),Google,pronoun_ratio,0.0351,0.0397,0.0047,-0.0157,0.025,0.6369,18,113,0.8492
Dementia_subtype,Subtype_4 (n_pts=12),Google,content_ratio,0.0723,0.0666,-0.0057,-0.0273,0.0159,0.5867,18,113,0.8314
Dementia_subtype,Subtype_4 (n_pts=12),Google,mean_word_len,-0.077,-0.0953,-0.0184,-0.1271,0.0904,0.7277,18,113,0.8625
Dementia_subtype,Subtype_4 (n_pts=12),Meta,ttr,-0.0537,-0.0364,0.0173,-0.0079,0.0425,0.1674,18,113,0.6574
Dementia_subtype,Subtype_4 (n_pts=12),Meta,pronoun_ratio,0.0351,0.0312,-0.0038,-0.0119,0.0043,0.338,18,113,0.7378
Dementia_subtype,Subtype_4 (n_pts=12),Meta,content_ratio,0.0723,0.0672,-0.0052,-0.0169,0.0065,0.3689,18,113,0.7378
Dementia_subtype,Subtype_4 (n_pts=12),Meta,mean_word_len,-0.077,-0.0957,-0.0187,-0.1483,0.1109,0.7655,18,113,0.8749
Dementia_subtype,Subtype_4 (n_pts=12),Microsoft,ttr,-0.0537,-0.0367,0.017,-0.0207,0.0546,0.356,18,113,0.7378
Dementia_subtype,Subtype_4 (n_pts=12),Microsoft,pronoun_ratio,0.0351,0.0266,-0.0085,-0.0214,0.0044,0.1849,18,113,0.6574
Dementia_subtype,Subtype_4 (n_pts=12),Microsoft,content_ratio,0.0723,0.0532,-0.0191,-0.0393,0.0011,0.0628,18,113,0.3717
Dementia_subtype,Subtype_4 (n_pts=12),Microsoft,mean_word_len,-0.077,-0.0923,-0.0153,-0.1561,0.1255,0.8221,18,113,0.9071
Dementia_subtype,Subtype_4 (n_pts=12),Nemo,ttr,-0.0537,-0.057,-0.0033,-0.016,0.0094,0.5976,18,113,0.8314
Dementia_subtype,Subtype_4 (n_pts=12),Nemo,pronoun_ratio,0.0351,0.034,-0.001,-0.0069,0.0048,0.7178,18,113,0.8625
Dementia_subtype,Subtype_4 (n_pts=12),Nemo,content_ratio,0.0723,0.0573,-0.0151,-0.026,-0.0042,0.0089,18,113,0.1536
Dementia_subtype,Subtype_4 (n_pts=12),Nemo,mean_word_len,-0.077,-0.1164,-0.0394,-0.1597,0.0809,0.4997,18,113,0.8314
Dementia_subtype,Subtype_4 (n_pts=12),Whisper,ttr,-0.0537,-0.0603,-0.0066,-0.0199,0.0066,0.3123,18,113,0.7378
Dementia_subtype,Subtype_4 (n_pts=12),Whisper,pronoun_ratio,0.0351,0.0369,0.0019,-0.0047,0.0084,0.5616,18,113,0.8314
Dementia_subtype,Subtype_4 (n_pts=12),Whisper,content_ratio,0.0723,0.0636,-0.0087,-0.0167,-0.0007,0.0337,18,113,0.3595
Dementia_subtype,Subtype_4 (n_pts=12),Whisper,mean_word_len,-0.077,-0.1099,-0.0329,-0.1549,0.089,0.5772,18,113,0.8314
Dementia_subtype,Subtype_5 (n_pts=7),AWS,ttr,-0.1225,-0.0962,0.0263,-0.0516,0.1042,0.4764,13,113,0.8024
Dementia_subtype,Subtype_5 (n_pts=7),AWS,pronoun_ratio,-0.0064,0.0031,0.0096,-0.0038,0.0229,0.1471,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),AWS,content_ratio,0.0763,0.0469,-0.0295,-0.071,0.0121,0.1484,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),AWS,mean_word_len,-0.508,-0.5266,-0.0187,-0.1493,0.1119,0.7615,13,113,0.9025
Dementia_subtype,Subtype_5 (n_pts=7),AssemblyAI,ttr,-0.1225,-0.0333,0.0892,-0.0301,0.2086,0.1293,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),AssemblyAI,pronoun_ratio,-0.0064,-0.0019,0.0045,-0.018,0.0269,0.6739,13,113,0.8626
Dementia_subtype,Subtype_5 (n_pts=7),AssemblyAI,content_ratio,0.0763,0.0163,-0.06,-0.1252,0.0052,0.0679,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),AssemblyAI,mean_word_len,-0.508,-0.4846,0.0234,-0.0714,0.1182,0.6035,13,113,0.8397
Dementia_subtype,Subtype_5 (n_pts=7),CrisperWhisper,ttr,-0.1225,-0.2151,-0.0926,-0.209,0.0239,0.109,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),CrisperWhisper,pronoun_ratio,-0.0064,-0.014,-0.0076,-0.0288,0.0136,0.4487,13,113,0.7977
Dementia_subtype,Subtype_5 (n_pts=7),CrisperWhisper,content_ratio,0.0763,0.0749,-0.0014,-0.0273,0.0245,0.9081,13,113,0.9834
Dementia_subtype,Subtype_5 (n_pts=7),CrisperWhisper,mean_word_len,-0.508,-0.698,-0.19,-0.445,0.065,0.1306,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),Google,ttr,-0.1225,-0.1472,-0.0247,-0.1104,0.0611,0.543,13,113,0.8172
Dementia_subtype,Subtype_5 (n_pts=7),Google,pronoun_ratio,-0.0064,-0.0055,0.0009,-0.0229,0.0248,0.9334,13,113,0.9834
Dementia_subtype,Subtype_5 (n_pts=7),Google,content_ratio,0.0763,0.0707,-0.0056,-0.0259,0.0146,0.5618,13,113,0.8172
Dementia_subtype,Subtype_5 (n_pts=7),Google,mean_word_len,-0.508,-0.5067,0.0012,-0.1196,0.122,0.9831,13,113,0.9834
Dementia_subtype,Subtype_5 (n_pts=7),Meta,ttr,-0.1225,0.0757,0.1982,0.0375,0.3589,0.0197,13,113,0.2101
Dementia_subtype,Subtype_5 (n_pts=7),Meta,pronoun_ratio,-0.0064,-0.01,-0.0036,-0.0204,0.0132,0.6508,13,113,0.8626
Dementia_subtype,Subtype_5 (n_pts=7),Meta,content_ratio,0.0763,0.057,-0.0193,-0.0656,0.027,0.382,13,113,0.7191
Dementia_subtype,Subtype_5 (n_pts=7),Meta,mean_word_len,-0.508,-0.3418,0.1661,-0.1702,0.5024,0.3034,13,113,0.6473
Dementia_subtype,Subtype_5 (n_pts=7),Microsoft,ttr,-0.1225,-0.2414,-0.1189,-0.2842,0.0464,0.1432,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),Microsoft,pronoun_ratio,-0.0064,-0.0224,-0.016,-0.046,0.0139,0.2668,13,113,0.6098
Dementia_subtype,Subtype_5 (n_pts=7),Microsoft,content_ratio,0.0763,0.076,-0.0004,-0.0373,0.0366,0.9834,13,113,0.9834
Dementia_subtype,Subtype_5 (n_pts=7),Microsoft,mean_word_len,-0.508,-0.5661,-0.0581,-0.3906,0.2744,0.7102,13,113,0.8741
Dementia_subtype,Subtype_5 (n_pts=7),Nemo,ttr,-0.1225,-0.0554,0.0672,-0.0416,0.1759,0.2034,13,113,0.5007
Dementia_subtype,Subtype_5 (n_pts=7),Nemo,pronoun_ratio,-0.0064,0.0081,0.0145,0.0008,0.0283,0.0397,13,113,0.3176
Dementia_subtype,Subtype_5 (n_pts=7),Nemo,content_ratio,0.0763,0.065,-0.0114,-0.0375,0.0148,0.3634,13,113,0.7191
Dementia_subtype,Subtype_5 (n_pts=7),Nemo,mean_word_len,-0.508,-0.4962,0.0118,-0.1205,0.144,0.85,13,113,0.9714
Dementia_subtype,Subtype_5 (n_pts=7),Whisper,ttr,-0.1225,0.0007,0.1232,0.028,0.2184,0.0154,13,113,0.2101
Dementia_subtype,Subtype_5 (n_pts=7),Whisper,pronoun_ratio,-0.0064,-0.0154,-0.009,-0.0393,0.0212,0.5278,13,113,0.8172
Dementia_subtype,Subtype_5 (n_pts=7),Whisper,content_ratio,0.0763,0.0173,-0.0591,-0.1279,0.0098,0.0862,13,113,0.3957
Dementia_subtype,Subtype_5 (n_pts=7),Whisper,mean_word_len,-0.508,-0.1476,0.3604,0.0907,0.63,0.013,13,113,0.2101
Dementia_subtype,Subtype_6 (n_pts=8),AWS,ttr,-0.0799,-0.0886,-0.0087,-0.0228,0.0054,0.2039,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),AWS,pronoun_ratio,0.0541,0.0621,0.008,-0.008,0.0241,0.2915,11,113,0.5643
Dementia_subtype,Subtype_6 (n_pts=8),AWS,content_ratio,0.0719,0.077,0.0051,-0.0047,0.0149,0.278,11,113,0.5643
Dementia_subtype,Subtype_6 (n_pts=8),AWS,mean_word_len,-0.2631,-0.2916,-0.0285,-0.1025,0.0455,0.4168,11,113,0.6669
Dementia_subtype,Subtype_6 (n_pts=8),AssemblyAI,ttr,-0.0799,-0.0808,-0.0009,-0.02,0.0182,0.9184,11,113,0.948
Dementia_subtype,Subtype_6 (n_pts=8),AssemblyAI,pronoun_ratio,0.0541,0.054,-0.0001,-0.0114,0.0112,0.9843,11,113,0.9843
Dementia_subtype,Subtype_6 (n_pts=8),AssemblyAI,content_ratio,0.0719,0.0751,0.0032,-0.0064,0.0128,0.4849,11,113,0.7285
Dementia_subtype,Subtype_6 (n_pts=8),AssemblyAI,mean_word_len,-0.2631,-0.2317,0.0314,-0.033,0.0958,0.3096,11,113,0.5643
Dementia_subtype,Subtype_6 (n_pts=8),CrisperWhisper,ttr,-0.0799,-0.0965,-0.0166,-0.0419,0.0086,0.1752,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),CrisperWhisper,pronoun_ratio,0.0541,0.0605,0.0064,-0.0029,0.0157,0.1593,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),CrisperWhisper,content_ratio,0.0719,0.069,-0.0029,-0.0128,0.0071,0.5464,11,113,0.7285
Dementia_subtype,Subtype_6 (n_pts=8),CrisperWhisper,mean_word_len,-0.2631,-0.2662,-0.0031,-0.0578,0.0516,0.9038,11,113,0.948
Dementia_subtype,Subtype_6 (n_pts=8),Google,ttr,-0.0799,-0.0857,-0.0058,-0.0382,0.0266,0.6999,11,113,0.8295
Dementia_subtype,Subtype_6 (n_pts=8),Google,pronoun_ratio,0.0541,0.0605,0.0065,-0.015,0.0279,0.5198,11,113,0.7285
Dementia_subtype,Subtype_6 (n_pts=8),Google,content_ratio,0.0719,0.0626,-0.0093,-0.0238,0.0053,0.1922,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Google,mean_word_len,-0.2631,-0.3307,-0.0676,-0.2099,0.0747,0.3174,11,113,0.5643
Dementia_subtype,Subtype_6 (n_pts=8),Meta,ttr,-0.0799,-0.0346,0.0453,0.0075,0.0831,0.023,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Meta,pronoun_ratio,0.0541,0.04,-0.0141,-0.0367,0.0086,0.1976,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Meta,content_ratio,0.0719,0.059,-0.0129,-0.0356,0.0098,0.2376,11,113,0.5643
Dementia_subtype,Subtype_6 (n_pts=8),Meta,mean_word_len,-0.2631,-0.2827,-0.0196,-0.1609,0.1217,0.7655,11,113,0.8749
Dementia_subtype,Subtype_6 (n_pts=8),Microsoft,ttr,-0.0799,-0.0464,0.0334,-0.0169,0.0838,0.1711,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Microsoft,pronoun_ratio,0.0541,0.0553,0.0012,-0.0159,0.0183,0.8786,11,113,0.948
Dementia_subtype,Subtype_6 (n_pts=8),Microsoft,content_ratio,0.0719,0.0638,-0.0081,-0.028,0.0117,0.3871,11,113,0.652
Dementia_subtype,Subtype_6 (n_pts=8),Microsoft,mean_word_len,-0.2631,-0.2405,0.0226,-0.0557,0.101,0.5405,11,113,0.7285
Dementia_subtype,Subtype_6 (n_pts=8),Nemo,ttr,-0.0799,-0.0919,-0.012,-0.0267,0.0027,0.1007,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Nemo,pronoun_ratio,0.0541,0.0596,0.0056,-0.005,0.0162,0.2712,11,113,0.5643
Dementia_subtype,Subtype_6 (n_pts=8),Nemo,content_ratio,0.0719,0.0774,0.0055,-0.002,0.013,0.1441,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Nemo,mean_word_len,-0.2631,-0.2508,0.0123,-0.041,0.0656,0.626,11,113,0.8013
Dementia_subtype,Subtype_6 (n_pts=8),Whisper,ttr,-0.0799,-0.075,0.0048,-0.0209,0.0306,0.6865,11,113,0.8295
Dementia_subtype,Subtype_6 (n_pts=8),Whisper,pronoun_ratio,0.0541,0.0633,0.0093,-0.0034,0.0219,0.1344,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Whisper,content_ratio,0.0719,0.0592,-0.0127,-0.0307,0.0053,0.149,11,113,0.5437
Dementia_subtype,Subtype_6 (n_pts=8),Whisper,mean_word_len,-0.2631,-0.2083,0.0548,-0.0074,0.1169,0.0789,11,113,0.5437
Dementia_subtype,Subtype_7 (n_pts=3),AWS,ttr,0.0372,0.0715,0.0343,-0.0701,0.1386,0.2955,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),AWS,pronoun_ratio,0.0936,-0.0118,-0.1054,-0.4594,0.2486,0.3288,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),AWS,content_ratio,0.101,0.1041,0.0031,-0.0066,0.0128,0.402,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),AWS,mean_word_len,-0.2449,-0.1432,0.1016,-0.0097,0.213,0.0606,3,113,0.5528
Dementia_subtype,Subtype_7 (n_pts=3),AssemblyAI,ttr,0.0372,0.0754,0.0381,0.002,0.0742,0.0449,3,113,0.5528
Dementia_subtype,Subtype_7 (n_pts=3),AssemblyAI,pronoun_ratio,0.0936,0.0326,-0.0611,-0.3434,0.2213,0.4505,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),AssemblyAI,content_ratio,0.101,0.0835,-0.0175,-0.1379,0.1028,0.5962,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),AssemblyAI,mean_word_len,-0.2449,-0.1818,0.063,-0.06,0.186,0.1764,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),CrisperWhisper,ttr,0.0372,0.0423,0.005,-0.0251,0.0351,0.598,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),CrisperWhisper,pronoun_ratio,0.0936,0.1013,0.0077,-0.0412,0.0566,0.5728,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),CrisperWhisper,content_ratio,0.101,0.1073,0.0063,-0.0123,0.0248,0.3289,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),CrisperWhisper,mean_word_len,-0.2449,-0.3072,-0.0623,-0.3335,0.2088,0.4341,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Google,ttr,0.0372,0.0758,0.0385,-0.1487,0.2258,0.4727,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Google,pronoun_ratio,0.0936,0.0173,-0.0764,-0.3225,0.1698,0.3141,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Google,content_ratio,0.101,0.1133,0.0122,-0.0069,0.0314,0.1345,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Google,mean_word_len,-0.2449,-0.286,-0.0411,-0.5654,0.4832,0.7716,3,113,0.8818
Dementia_subtype,Subtype_7 (n_pts=3),Meta,ttr,0.0372,0.1068,0.0696,0.0436,0.0956,0.003,3,113,0.096
Dementia_subtype,Subtype_7 (n_pts=3),Meta,pronoun_ratio,0.0936,0.0177,-0.0759,-0.294,0.1423,0.2737,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Meta,content_ratio,0.101,0.0996,-0.0014,-0.176,0.1731,0.9752,3,113,0.9752
Dementia_subtype,Subtype_7 (n_pts=3),Meta,mean_word_len,-0.2449,-0.3861,-0.1413,-1.057,0.7745,0.5771,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Microsoft,ttr,0.0372,0.0311,-0.0062,-0.062,0.0497,0.7078,3,113,0.8539
Dementia_subtype,Subtype_7 (n_pts=3),Microsoft,pronoun_ratio,0.0936,0.0999,0.0063,-0.0499,0.0624,0.6832,3,113,0.8539
Dementia_subtype,Subtype_7 (n_pts=3),Microsoft,content_ratio,0.101,0.1,-0.001,-0.0235,0.0216,0.8883,3,113,0.9475
Dementia_subtype,Subtype_7 (n_pts=3),Microsoft,mean_word_len,-0.2449,-0.3027,-0.0579,-0.2671,0.1513,0.3759,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Nemo,ttr,0.0372,0.0369,-0.0004,-0.0336,0.0328,0.9674,3,113,0.9752
Dementia_subtype,Subtype_7 (n_pts=3),Nemo,pronoun_ratio,0.0936,0.0833,-0.0103,-0.0789,0.0582,0.5848,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Nemo,content_ratio,0.101,0.1146,0.0136,-0.0153,0.0425,0.1996,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Nemo,mean_word_len,-0.2449,-0.2335,0.0114,-0.2885,0.3113,0.8878,3,113,0.9475
Dementia_subtype,Subtype_7 (n_pts=3),Whisper,ttr,0.0372,0.0224,-0.0149,-0.1689,0.1392,0.7205,3,113,0.8539
Dementia_subtype,Subtype_7 (n_pts=3),Whisper,pronoun_ratio,0.0936,0.0063,-0.0873,-0.4799,0.3053,0.4397,3,113,0.7973
Dementia_subtype,Subtype_7 (n_pts=3),Whisper,content_ratio,0.101,0.1168,0.0158,-0.0026,0.0341,0.0691,3,113,0.5528
Dementia_subtype,Subtype_7 (n_pts=3),Whisper,mean_word_len,-0.2449,0.0307,0.2756,-1.1498,1.7009,0.4934,3,113,0.7973
Transcript_length,Q1,AWS,ttr,-0.0809,-0.0185,0.0624,0.0296,0.0953,0.0004,42,35,0.0043
Transcript_length,Q1,AWS,pronoun_ratio,0.0389,0.0518,0.0129,-0.0074,0.0332,0.2075,42,35,0.3495
Transcript_length,Q1,AWS,content_ratio,0.149,0.1356,-0.0134,-0.0308,0.0041,0.1305,42,35,0.2477
Transcript_length,Q1,AWS,mean_word_len,-0.4286,-0.4451,-0.0165,-0.1078,0.0749,0.719,42,35,0.7934
Transcript_length,Q1,AssemblyAI,ttr,-0.0809,0.0017,0.0826,0.0418,0.1234,0.0002,42,35,0.0032
Transcript_length,Q1,AssemblyAI,pronoun_ratio,0.0389,0.0366,-0.0023,-0.0174,0.0128,0.7582,42,35,0.8087
Transcript_length,Q1,AssemblyAI,content_ratio,0.149,0.1288,-0.0202,-0.0428,0.0024,0.0786,42,35,0.1677
Transcript_length,Q1,AssemblyAI,mean_word_len,-0.4286,-0.2678,0.1608,0.0516,0.27,0.0048,42,35,0.0384
Transcript_length,Q1,CrisperWhisper,ttr,-0.0809,-0.1062,-0.0253,-0.0728,0.0222,0.2898,42,35,0.4215
Transcript_length,Q1,CrisperWhisper,pronoun_ratio,0.0389,0.0435,0.0047,-0.0116,0.021,0.5667,42,35,0.6894
Transcript_length,Q1,CrisperWhisper,content_ratio,0.149,0.1377,-0.0112,-0.0277,0.0053,0.1779,42,35,0.3163
Transcript_length,Q1,CrisperWhisper,mean_word_len,-0.4286,-0.4961,-0.0674,-0.1881,0.0532,0.2666,42,35,0.4062
Transcript_length,Q1,Google,ttr,-0.0809,-0.0654,0.0155,-0.0272,0.0582,0.4698,42,35,0.6184
Transcript_length,Q1,Google,pronoun_ratio,0.0389,0.0549,0.016,-0.0099,0.0419,0.2192,42,35,0.3507
Transcript_length,Q1,Google,content_ratio,0.149,0.1237,-0.0252,-0.0477,-0.0027,0.0286,42,35,0.0998
Transcript_length,Q1,Google,mean_word_len,-0.4286,-0.4806,-0.0519,-0.1648,0.061,0.3617,42,35,0.5032
Transcript_length,Q1,Meta,ttr,-0.0809,0.0545,0.1354,0.0777,0.193,0.0,42,35,0.0
Transcript_length,Q1,Meta,pronoun_ratio,0.0389,0.0211,-0.0177,-0.0351,-0.0003,0.0459,42,35,0.1224
Transcript_length,Q1,Meta,content_ratio,0.149,0.1163,-0.0327,-0.0628,-0.0025,0.0343,42,35,0.0998
Transcript_length,Q1,Meta,mean_word_len,-0.4286,-0.4693,-0.0407,-0.197,0.1156,0.6032,42,35,0.6894
Transcript_length,Q1,Microsoft,ttr,-0.0809,-0.0842,-0.0033,-0.0767,0.0702,0.929,42,35,0.929
Transcript_length,Q1,Microsoft,pronoun_ratio,0.0389,0.0457,0.0068,-0.0187,0.0323,0.5942,42,35,0.6894
