Source,ttr_effect,pronoun_ratio_effect,content_ratio_effect,mean_word_len_effect
AWS,-0.061296396429855626,0.03946003410955683,0.06446574736948951,-0.2801171844035699
AssemblyAI,-0.05393504237259328,0.031778555682250895,0.06832289689011806,-0.206437935036222
CrisperWhisper,-0.08734143606216038,0.033793020596852255,0.06609710349200704,-0.3004882466892078
Google,-0.07019326747947241,0.03398224645800915,0.06348885109330626,-0.2802295756286175
Human,-0.07927866296254671,0.03270447188867333,0.07477681690444504,-0.25921982672889987
Meta,-0.004788553531096751,0.0233458114842144,0.06844129021835788,-0.23873870314164947
Microsoft,-0.05646617645835261,0.0368737340741422,0.049433713239391164,-0.22094690476951806
Nemo,-0.05800943576236983,0.03544543922526956,0.06435932102446718,-0.24252249634807033
Whisper,-0.054084403733190456,0.039009792924396824,0.06344743196630787,-0.16236695307159854
